"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.09.2020","228,50","230,02","232,10","227,61","71,30M","-0,60%"
"22.09.2020","229,88","226,00","230,28","225,46","66,62M","1,60%"
"21.09.2020","226,25","229,88","230,07","223,49","70,30M","-1,76%"
"18.09.2020","230,30","232,00","232,59","229,00","54,62M","-0,50%"
"17.09.2020","231,46","229,10","231,75","228,57","49,13M","0,17%"
"16.09.2020","231,06","231,72","232,60","230,15","39,61M","-0,19%"
"15.09.2020","231,50","228,22","231,95","227,39","61,91M","1,82%"
"14.09.2020","227,37","222,31","227,54","222,13","62,91M","2,85%"
"11.09.2020","221,07","221,46","223,15","219,75","45,69M","0,21%"
"10.09.2020","220,60","218,24","222,15","215,79","71,20M","1,19%"
"09.09.2020","218,00","217,01","218,88","216,80","48,06M","0,15%"
"08.09.2020","217,68","222,00","222,48","216,29","70,02M","-1,64%"
"07.09.2020","221,32","221,50","224,20","220,50","59,33M","-0,40%"
"04.09.2020","222,21","218,00","222,50","216,75","70,67M","1,78%"
"03.09.2020","218,32","221,67","224,23","218,00","69,47M","-1,91%"
"02.09.2020","222,57","228,56","228,75","220,85","77,85M","-2,23%"
"01.09.2020","227,64","226,70","227,97","226,01","37,55M","0,68%"
"31.08.2020","226,10","227,00","229,71","225,00","62,02M","-0,09%"
"28.08.2020","226,30","227,00","228,10","225,19","40,75M","0,03%"
"27.08.2020","226,23","227,87","229,98","225,60","51,03M","-0,69%"
"26.08.2020","227,80","228,30","229,40","224,70","75,78M","-0,12%"
"25.08.2020","228,08","232,30","232,97","226,90","58,98M","-1,61%"
"24.08.2020","231,81","232,50","233,70","230,20","44,55M","0,26%"
"21.08.2020","231,22","233,30","236,50","227,35","138,91M","-0,54%"
"20.08.2020","232,48","238,44","238,51","230,33","116,94M","-2,89%"
"19.08.2020","239,40","235,85","240,75","235,19","38,23M","1,31%"
"18.08.2020","236,30","236,88","239,83","235,69","36,76M","-0,63%"
"17.08.2020","237,80","240,80","242,35","234,50","77,12M","-0,91%"
"14.08.2020","239,99","242,00","242,22","238,47","44,28M","-0,58%"
"13.08.2020","241,39","242,20","244,04","238,57","85,72M","-0,42%"
"12.08.2020","242,40","233,12","242,50","233,03","101,00M","4,19%"
"11.08.2020","232,65","226,43","234,73","226,21","81,88M","2,95%"
"10.08.2020","225,99","227,96","228,70","224,51","43,50M","-0,57%"
"07.08.2020","227,28","225,00","227,60","224,46","35,64M","0,57%"
"06.08.2020","226,00","226,75","227,43","224,35","30,16M","-0,18%"
"05.08.2020","226,40","228,15","229,17","224,31","54,64M","-0,33%"
"04.08.2020","227,16","227,39","228,85","225,63","42,02M","0,19%"
"03.08.2020","226,72","222,27","228,36","221,30","64,56M","2,32%"
"31.07.2020","221,57","218,19","221,98","217,43","59,71M","1,57%"
"30.07.2020","218,15","218,71","218,88","215,34","51,26M","-0,47%"
"29.07.2020","219,18","215,89","219,18","215,63","41,35M","1,69%"
"28.07.2020","215,53","216,81","217,42","215,25","24,61M","-0,63%"
"27.07.2020","216,90","216,70","218,38","215,15","38,32M","0,43%"
"24.07.2020","215,97","214,80","217,41","197,73","53,57M","0,26%"
"23.07.2020","215,41","217,50","219,28","215,00","43,42M","-0,60%"
"22.07.2020","216,71","215,98","217,65","213,56","48,44M","0,45%"
"21.07.2020","215,73","215,00","219,10","214,38","75,65M","0,86%"
"20.07.2020","213,89","210,27","214,48","209,08","44,51M","1,46%"
"17.07.2020","210,81","211,69","212,18","209,86","36,14M","-0,26%"
"16.07.2020","211,35","209,66","212,60","208,63","39,03M","0,12%"
"15.07.2020","211,09","210,29","211,80","207,65","49,53M","0,76%"
"14.07.2020","209,50","208,38","209,58","205,70","66,04M","0,53%"
"13.07.2020","208,39","213,87","214,20","208,11","51,33M","-1,83%"
"10.07.2020","212,28","207,51","212,60","206,57","50,71M","1,52%"
"09.07.2020","209,11","210,70","211,70","208,10","45,19M","-0,88%"
"08.07.2020","210,97","210,80","212,29","209,30","42,07M","0,21%"
"07.07.2020","210,53","213,00","214,23","210,51","44,73M","-1,90%"
"06.07.2020","214,61","212,97","216,79","212,94","55,46M","1,74%"
"03.07.2020","210,95","210,00","211,97","209,00","50,64M","0,64%"
"02.07.2020","209,60","205,00","210,15","204,28","76,38M","3,14%"
"30.06.2020","203,22","205,70","206,00","202,36","43,75M","-1,25%"
"29.06.2020","205,80","201,00","205,86","200,97","43,08M","1,30%"
"26.06.2020","203,15","206,97","207,50","201,76","46,69M","-1,82%"
"25.06.2020","206,92","201,00","207,00","200,75","71,50M","-0,18%"
"23.06.2020","207,30","207,70","209,74","206,43","53,49M","0,44%"
"22.06.2020","206,40","206,70","207,95","204,28","58,66M","-0,29%"
"19.06.2020","207,00","205,44","209,20","204,55","75,05M","1,59%"
"18.06.2020","203,77","207,80","208,10","202,72","72,28M","-2,10%"
"17.06.2020","208,14","208,52","210,35","206,94","56,58M","0,18%"
"16.06.2020","207,76","210,28","212,19","207,52","66,56M","0,21%"
"15.06.2020","207,32","205,07","207,85","202,30","76,00M","-0,49%"
"11.06.2020","208,35","208,91","209,24","206,01","70,03M","-1,97%"
"10.06.2020","212,53","217,00","217,58","211,82","91,90M","-2,16%"
"09.06.2020","217,23","221,13","221,88","215,44","69,17M","-1,39%"
"08.06.2020","220,30","219,80","223,15","217,45","88,83M","0,55%"
"05.06.2020","219,10","215,13","219,93","213,60","88,66M","2,82%"
"04.06.2020","213,10","220,67","221,00","212,55","122,49M","-3,79%"
