source	id	title	theme	author	textdate	tags	URL	Author_profession	About_author
Arzamas	121	Краткая история изобретения пасты  •  	['История', 'Антропология']	Алексей Мунипов	20.10.2015	[]	http://arzamas.academy/mag/121-pasta	Журналист, редактор 	Кандидат наук, в 2002 году защитил в НИИ искусствознания диссертацию «Тема смерти в японской массовой культуре». <nobr>В 2012–2013 годах</nobr> — главный редактор журнала «Большой город», <nobr>в 2014–2015 годах</nobr> — главный редактор издания «Афиша–Воздух», <nobr>в 2015–2016 годах</nobr> — редакционный директор Arzamas. 
Arzamas	254	Юбилей Паддингтона, котик Диккенса и книжки Сытина  •  	[]	Лиза Биргер	12.02.2016	['Дети']	http://arzamas.academy/mag/254-falkor	Журналист, литературный критик	
Arzamas	268	Петр Багров: «Мы видим в плохом кино что-то интересное»  •  	['Искусство']	Ирина Калитеевская	07.03.2016	[]	http://arzamas.academy/mag/268-bagrov	Редактор Arzamas.academy	
Arzamas	240	Что читать, смотреть и слушать на каникулах  •  	[]		03.01.2016	[]	http://arzamas.academy/mag/240-collections		
Arzamas	241	Современное искусство и кодирующая гусеница  •  	[]	Лиза Биргер	22.01.2016	['Дети']	http://arzamas.academy/mag/241-karl	Журналист, литературный критик	
Arzamas	183	Ренат Беккин — о жизни мусульман в России  •  	['Антропология']	Анна Савина	17.11.2015	[]	http://arzamas.academy/mag/183-bekkin	Журналист	Редактор сайта «Секрет фирмы»
Arzamas	205	Инфографика недели: корабль рабов  •  	['История']	Дмитрий Голубовский	03.12.2015	[]	http://arzamas.academy/mag/205-infographic-slave-ship	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
Arzamas	138	«К тебе иду, а ты жди меня»: песни понтийских греков в Абхазии  •  	['Искусство', 'Антропология']		08.10.2015	[]	http://arzamas.academy/mag/138-greeks		
Arzamas	153	Инфографика недели: города  •  	['История', 'Антропология']	Дмитрий Голубовский	23.10.2015	[]	http://arzamas.academy/mag/153-infographic-cities	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
Arzamas	142	Зализняк и берестяные грамоты: репортаж с лекции  •  	['История']	Дмитрий Сичинава	07.10.2015	[]	http://arzamas.academy/mag/142-zaliznyak	Лингвист	Кандидат филологических наук, старший научный сотрудник отдела корпусной лингвистики и лингвистической поэтики Института русского языка имени В. В. Виноградова РАН.
Arzamas	274	Гитлер танцует свинг: антинацистский видеомэшап 1941 года  •  	['История']		21.03.2016	[]	http://arzamas.academy/mag/274-nazi		
Arzamas	230	Джон Кейдж — об идеальном размере коллектива  •  	['Искусство']		26.01.2016	[]	http://arzamas.academy/mag/230-cage		
Arzamas	242	Маттеус Шварц, фэшн-блогер XVI века  •  	['История', 'Антропология']	Ольга Хорошилова	20.01.2016	[]	http://arzamas.academy/mag/242-schwarz	Искусствовед, историк моды	Кандидат искусствоведения, доцент Санкт-Петербургского государственного университета промышленных технологий и дизайна, лектор Русского музея, автор книг «Всадники особого назначения» (2013), «Костюм и мода Российской империи. Эпоха Николая II» (2013), «Костюм и мода Российской империи. Эпоха Александра II и Александра III» (2015), «Молодые и красивые. Мода 1920-х годов» (2016).
Arzamas	206	Почему Галилей не говорил «И все‑таки она вертится»?  •  	['История']	Кася Денисевич	09.12.2015	[]	http://arzamas.academy/mag/206-galileo	Редактор, переводчик	Окончила историко-филологический факультет РГГУ, защитив диплом на тему «Книга Мауро Орбини „Il regno de gli Slavi“ и реконструкция славянского мифологического пантеона в России в XVIII — начале XIX века». Переводила с итальянского книги Милены Агус, Андреа Камиллери. Публиковалась в журнале «Живая старина». Соавтор путеводителя по Милану журнала «Афиша» (2011).
Arzamas	372	Стихи на выходные: Сергей Гандлевский  •  	['Литература']		03.11.2016	['Поэзия']	http://arzamas.academy/mag/372-gandlevsky		
Arzamas	398	Индейцы в 10 вопросах  •  	['Антропология', 'История']	Евгения Коровина	27.01.2017	['Шпаргалка', 'Мифы', 'Америка']	http://arzamas.academy/mag/398-indian	Лингвист	Аспирант Института восточных культур и античности РГГУ, младший научный сотрудник Института языкознания РАН.
Arzamas	409	Африка в 10 вопросах  •  	['Антропология', 'История']	Кирилл Бабаев	03.03.2017	['Африка', 'Путеводитель']	http://arzamas.academy/mag/409-afrika	Доктор филологических наук	Директор Фонда фундаментальных лингвистических исследований, старший научный сотрудник Института востоковедения РАН, директор издательского дома «ЯСК».
Arzamas	118	Кришна и индийский театр теней  •  	['Антропология', 'Искусство']	Алексей Мунипов	14.09.2015	[]	http://arzamas.academy/mag/118-shadow-puppets	Журналист, редактор 	Кандидат наук, в 2002 году защитил в НИИ искусствознания диссертацию «Тема смерти в японской массовой культуре». <nobr>В 2012–2013 годах</nobr> — главный редактор журнала «Большой город», <nobr>в 2014–2015 годах</nobr> — главный редактор издания «Афиша–Воздух», <nobr>в 2015–2016 годах</nobr> — редакционный директор Arzamas. 
Arzamas	23	«Воскрешение из мертвых». Вышеградский кодекс. 1085 год  •  	['Искусство']		15.07.2015	[]	http://arzamas.academy/mag/23-vyshegrad		
Arzamas	194	Лучшие детские книги на non/fiction: выбор Arzamas  •  	['Литература']	Лиза Биргер	27.11.2015	[]	http://arzamas.academy/mag/194-nonfiction-children	Журналист, литературный критик	
Arzamas	346	Как выглядели дети‑преступники 1900‑х годов  •  	['Антропология', 'История']	Дмитрий Голубовский	14.09.2016	['Документ']	http://arzamas.academy/mag/346-crime	Журналист, редактор	Директор департамента стикеров и эмодзи Arzamas. Кандидат исторических наук. <nobr>В 2011–2014 годах</nobr> — главный редактор журнала Esquire.
Arzamas	375	Как переводить книги — рассказывает Виктор Голышев  •  	['Литература']	Елена Калашникова	30.11.2016	['Инструкция', 'Интервью']	http://arzamas.academy/mag/375-golyshev	Филолог, журналист	Автор книги «По-русски с любовью. Беседы с переводчиками» (2008), автор и ведущая цикла встреч с переводчиками.
Arzamas	438	Как читать «Тимура и его команду»  •  	['Литература', 'История']		02.06.2017	['Что читать', 'Дети', 'СССР', 'Война']	http://arzamas.academy/mag/438-timur		
Arzamas	383	Что такое неопримитивизм  •  	['Искусство']	Ольга Тимофеева	16.01.2017	['Живопись']	http://arzamas.academy/mag/383-neoprimitivism	Историк искусства	Магистр истории искусства Университета Святого Андрея (Великобритания)
Arzamas	443	Как читать «Золушку»  •  	['История', 'Литература']		26.06.2017	['СССР', 'Что читать']	http://arzamas.academy/mag/443-zolushka		
Arzamas	338	Как смотреть иконы — 2  •  	['Искусство']	Дмитрий Антонов	07.09.2016	[]	http://arzamas.academy/mag/338-ikoni2Историк, исследователь древнерусской культуры и иконографии	Кандидат исторических наук, доцент кафедры истории и теории культуры РГГУ, старший научный сотрудник Школы актуальных гуманитарных исследований РАНХиГС. Сфера научных интересов — древнерусская культура, семиотика иконографии, средневековая демонология, русский фольклор. Автор монографий: «Смута в культуре средневековой Руси: эволюция древнерусских мифологем в книжности начала XVII века» (2009), «Демоны и грешники в древнерусской иконографии: семиотика образа» (2011, совместно с <a href="http://arzamas.academy/authors/73">Михаилом Майзульсом</a>), «Анатомия ада: путеводитель по древнерусской визуальной демонологии» (2013; 2014, совместно с Михаилом Майзульсом). Составитель и ответственный редактор научного сборника «Сила взгляда: глаза в мифологии и иконографии» (2013) и ежегодного альманаха «In Umbra: демонология как семиотическая система» (совместно с Ольгой Христофоровой).	
Arzamas	95	«Я их ненавижу, потому что они ненавидят мать»: дневники сына Цветаевой  •  	['Литература']		31.07.2015	[]	http://arzamas.academy/mag/95-efron		
Arzamas	380	Как написать научно-популярную книгу — рассказывает Сергей Иванов  •  	['Литература', 'История']	Анна Красильщик	28.11.2016	['Инструкция', 'Интервью']	http://arzamas.academy/mag/380-ivanov	Редактор Arzamas.academy	Окончила историко-филологический факультет РГГУ, защитив диплом на тему «Институт фаворитизма в системе государственной власти в России второй половины XVIII века» (научный руководитель — Александр Каменский). Директор редакторского бюро TXT.
Arzamas	266	Книги недели: выбор «Фаланстера»  •  	[]	Борис Куприянов	03.03.2016	[]	http://arzamas.academy/mag/266-vereshagin-etc	Издатель, публицист	Один из учредителей книжного магазина «Фаланстер», программный директор Международного московского открытого книжного фестиваля, член экспертного совета Международной ярмарки интеллектуальной литературы non/fiction.
Arzamas	221	Веселая наука для малышей (и немного живописи)  •  	[]	Лиза Биргер	18.12.2015	['Дети']	http://arzamas.academy/mag/221-mondrian	Журналист, литературный критик	
