text_id	link	title	date	author	type	filename
68	https://panorama.pub/5120-v-astrahani-vytashhili-iz-vody-plyvshij-po-volge-pamyatnik-leninu.html	В Астрахани достали из воды плывший по Волге памятник Ленину	2018-07-20	Виталий Манн	news	D:\Panorama\texts\68.txt
69	https://panorama.pub/5104-dyryavye-lozhki.html	В Сургуте будут бороться с детским ожирением при помощи дырявых ложек	2018-07-19	Герман Томилин	news	D:\Panorama\texts\69.txt
70	https://panorama.pub/5097-kubanskie-kazaki-v-izraile.html	Кубанское казачье войско открыло филиал в Тель-Авиве	2018-07-18	Виталий Манн	news	D:\Panorama\texts\70.txt
71	https://panorama.pub/5088-britanskie-studenty-pomogut-fermeram-s-uborkoj-urozhaya.html	Британские студенты помогут фермерам с уборкой урожая	2018-07-18	Виталий Манн	news	D:\Panorama\texts\71.txt
72	https://panorama.pub/5078-shamany_potushat_yakutiyu.html	В Якутии для тушения лесных пожаров привлекут шаманов	2018-07-18	Андрей Ренье	news	D:\Panorama\texts\72.txt
73	https://panorama.pub/5072-frantsuzy_edut_k_petukham.html	В честь победы на ЧМ сборную Франции наградят поездкой на петушиную ферму	2018-07-17	Виталий Манн	news	D:\Panorama\texts\73.txt
74	https://panorama.pub/5067-vlasti-ekaterinburga-reshili-ne-vozvrashhat-sovetskuyu-simvoliku-na-ulitsy-po-okonchaniyu-chm.html	Власти Екатеринбурга решили не возвращать советскую символику на улицы по окончанию ЧМ	2018-07-17	Виталий Манн	news	D:\Panorama\texts\74.txt
75	https://panorama.pub/5064-mutko-podaril-kaloshi.html	Мутко подарил волгоградскому губернатору калоши	2018-07-17	Виталий Манн	news	D:\Panorama\texts\75.txt
76	https://panorama.pub/5058-musk-tesla.html	Компания Илона Маска выпустит инновационное двухколесное транспортное средство на мускульной тяге	2018-07-17	Борис Гонтермахер	news	D:\Panorama\texts\76.txt
77	https://panorama.pub/5055-zhitelyam-saranska-razreshili-vernutsya.html	&quot;Интуристы уже разъехались&quot;: жителям Саранска разрешили вернуться в город	2018-07-16	Борис Гонтермахер	news	D:\Panorama\texts\77.txt
78	https://panorama.pub/4935-fiat-zamenit-na-svoih-predpriyatiyah-italyanskih-rabochih-na-portugaltsev.html	FIAT заменит на своих предприятиях итальянских рабочих на португальцев	2018-07-16	Виталий Манн	news	D:\Panorama\texts\78.txt
79	https://panorama.pub/4727-pisatel-sorokin-vozmetsya-za-detskuyu-literaturu.html	Писатель Сорокин возьмется за детскую литературу	2018-07-16	Борис Гонтермахер	news	D:\Panorama\texts\79.txt
